10,"{(8, 6): 2, (3, 7): 1, (8, 5): 0, (2, 7): 1, (4, 3): 0, (0, 0): 2, (3, 0): 1, (6, 0): 1, (8, 1): 2, (0, 7): 2}"
15,"{(12, 9): 2, (7, 12): 0, (6, 10): 2, (6, 12): 0, (5, 10): 2, (9, 9): 1, (11, 5): 1, (8, 5): 0, (0, 11): 2, (4, 12): 1, (11, 4): 2, (10, 2): 1, (12, 4): 0, (12, 1): 0, (2, 0): 2}"
20,"{(14, 3): 0, (14, 1): 1, (18, 7): 0, (16, 10): 1, (16, 18): 2, (18, 9): 1, (15, 7): 2, (11, 0): 0, (2, 4): 1, (1, 13): 2, (3, 11): 1, (8, 3): 0, (10, 4): 0, (5, 6): 2, (4, 7): 1, (12, 8): 0, (12, 7): 2, (3, 13): 0, (1, 17): 2, (12, 10): 0}"
25,"{(14, 18): 0, (18, 17): 1, (19, 16): 2, (22, 10): 1, (23, 19): 2, (18, 19): 1, (23, 22): 0, (16, 22): 2, (9, 21): 0, (21, 6): 0, (19, 6): 1, (19, 5): 0, (17, 5): 1, (8, 4): 2, (14, 5): 1, (3, 6): 0, (11, 7): 1, (17, 12): 2, (14, 13): 1, (6, 9): 0, (10, 12): 1, (11, 16): 0, (7, 14): 1, (1, 19): 2, (2, 22): 2}"
30,"{(16, 19): 1, (15, 24): 0, (14, 17): 0, (11, 27): 2, (15, 26): 1, (19, 24): 0, (21, 25): 1, (16, 28): 2, (26, 23): 2, (15, 13): 0, (12, 6): 2, (16, 0): 1, (5, 4): 2, (13, 13): 1, (3, 15): 2, (2, 22): 0, (2, 28): 2, (0, 19): 1, (0, 24): 2, (18, 13): 0, (19, 18): 1, (22, 19): 0, (26, 20): 1, (22, 18): 2, (22, 16): 0, (24, 11): 2, (24, 2): 1, (28, 6): 2, (28, 22): 0, (23, 11): 0}"
35,"{(24, 13): 0, (24, 15): 2, (29, 24): 0, (25, 23): 2, (19, 23): 0, (16, 24): 1, (13, 26): 2, (4, 33): 1, (0, 9): 0, (4, 3): 2, (3, 14): 2, (9, 12): 1, (3, 18): 1, (19, 27): 1, (18, 33): 2, (26, 29): 1, (31, 32): 0, (32, 9): 2, (28, 9): 0, (25, 8): 2, (22, 5): 1, (28, 6): 1, (27, 8): 2, (24, 4): 1, (29, 15): 1, (26, 14): 2, (29, 30): 2, (24, 25): 0, (25, 27): 1, (21, 20): 0, (10, 23): 1, (11, 9): 2, (11, 2): 1, (16, 2): 0, (29, 3): 2}"
40,"{(11, 4): 1, (8, 2): 0, (12, 1): 1, (8, 9): 1, (9, 12): 0, (7, 10): 2, (0, 10): 0, (7, 16): 2, (3, 2): 1, (4, 1): 2, (2, 2): 0, (3, 34): 1, (2, 18): 0, (8, 33): 0, (20, 38): 2, (7, 25): 0, (5, 21): 1, (15, 30): 2, (15, 23): 0, (21, 21): 1, (24, 27): 2, (25, 17): 2, (23, 17): 0, (24, 7): 1, (27, 2): 0, (14, 1): 2, (19, 4): 1, (36, 2): 0, (37, 17): 2, (36, 5): 1, (30, 24): 2, (29, 35): 1, (29, 32): 0, (35, 24): 0, (32, 22): 1, (32, 17): 0, (8, 18): 2, (15, 16): 1, (14, 8): 0, (21, 27): 0}"
45,"{(14, 10): 0, (10, 17): 2, (13, 8): 1, (6, 19): 1, (6, 7): 0, (5, 6): 1, (7, 5): 2, (10, 8): 2, (13, 0): 0, (18, 7): 1, (21, 0): 2, (4, 13): 2, (4, 39): 0, (0, 1): 2, (7, 23): 1, (13, 38): 2, (7, 37): 0, (5, 38): 1, (18, 39): 0, (18, 40): 1, (22, 38): 2, (21, 24): 0, (31, 14): 1, (32, 0): 2, (26, 37): 1, (31, 31): 2, (24, 40): 1, (30, 37): 0, (41, 34): 1, (39, 28): 2, (30, 27): 1, (41, 29): 1, (42, 28): 0, (32, 31): 1, (39, 39): 0, (43, 34): 2, (43, 30): 1, (39, 12): 0, (15, 34): 1, (13, 29): 2, (7, 31): 2, (5, 35): 0, (8, 22): 0, (19, 22): 2, (10, 18): 1}"
50,"{(9, 47): 0, (45, 43): 2, (48, 38): 1, (15, 42): 1, (1, 42): 2, (1, 41): 0, (10, 29): 1, (15, 33): 0, (12, 30): 1, (18, 25): 2, (24, 45): 2, (21, 44): 1, (19, 38): 2, (29, 31): 0, (28, 39): 1, (30, 42): 0, (31, 43): 1, (36, 43): 2, (30, 30): 0, (19, 29): 0, (21, 25): 0, (24, 24): 2, (29, 30): 1, (18, 22): 1, (23, 18): 0, (25, 13): 1, (31, 18): 2, (15, 15): 0, (12, 7): 1, (2, 12): 2, (1, 10): 0, (2, 11): 1, (5, 8): 1, (10, 6): 2, (15, 0): 0, (31, 3): 1, (33, 7): 0, (24, 4): 2, (27, 6): 0, (29, 6): 2, (16, 6): 1, (17, 11): 2, (40, 0): 2, (44, 3): 0, (42, 5): 0, (47, 6): 1, (23, 24): 0, (28, 22): 2, (40, 28): 1, (34, 7): 0}"
55,"{(3, 27): 2, (1, 33): 1, (5, 18): 1, (0, 35): 1, (8, 35): 0, (1, 45): 2, (8, 44): 1, (7, 46): 0, (1, 41): 2, (10, 52): 0, (9, 38): 2, (8, 49): 2, (27, 43): 1, (22, 43): 0, (20, 29): 2, (15, 26): 0, (10, 30): 1, (15, 31): 1, (41, 49): 0, (43, 34): 1, (35, 33): 2, (44, 35): 2, (50, 43): 1, (47, 33): 0, (50, 33): 2, (44, 22): 1, (36, 23): 0, (35, 29): 2, (26, 25): 2, (37, 27): 2, (48, 19): 0, (48, 10): 1, (35, 13): 1, (30, 21): 0, (25, 23): 2, (15, 25): 0, (28, 22): 1, (30, 24): 0, (36, 4): 2, (30, 2): 1, (17, 2): 0, (1, 3): 1, (3, 4): 2, (8, 6): 1, (25, 8): 0, (22, 7): 2, (11, 8): 0, (27, 4): 0, (52, 11): 0, (53, 31): 1, (52, 33): 2, (34, 3): 2, (45, 9): 1, (44, 9): 0, (38, 7): 2}"
